City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Butaritari,KI,2020-03-20 23:10:37,3.07,172.79,83.25,79,47,16.78,['scattered clouds'],0.0,0.0
1,Khatanga,RU,2020-03-20 23:10:38,71.97,102.5,-15.57,92,100,15.79,['overcast clouds'],0.0,0.0
2,Airai,TL,2020-03-20 23:10:38,-8.93,125.41,70.11,92,100,2.19,['light rain'],0.31,0.0
3,Atuona,PF,2020-03-20 23:10:38,-9.8,-139.03,81.99,80,69,15.46,['light rain'],0.19,0.0
4,Korla,CN,2020-03-20 23:10:38,41.76,86.15,34.83,39,17,4.5,['few clouds'],0.0,0.0
5,Castro,BR,2020-03-20 23:07:48,-24.79,-50.01,63.63,96,0,8.41,['clear sky'],0.0,0.0
6,Kapaa,US,2020-03-20 23:10:38,22.08,-159.32,82.4,78,20,11.41,['few clouds'],0.0,0.0
7,Chuy,UY,2020-03-20 23:10:39,-33.7,-53.46,64.35,81,11,4.65,['few clouds'],0.0,0.0
8,Thompson,CA,2020-03-20 23:10:23,55.74,-97.86,24.8,29,20,11.41,['few clouds'],0.0,0.0
9,Saskylakh,RU,2020-03-20 23:10:39,71.92,114.08,-7.29,90,97,14.81,['overcast clouds'],0.0,0.0
10,Itaituba,BR,2020-03-20 23:10:39,-4.28,-55.98,73.35,91,100,1.9,['overcast clouds'],0.0,0.0
11,Ballina,AU,2020-03-20 23:07:38,-28.87,153.57,81.0,69,0,9.35,['clear sky'],0.0,0.0
12,Rikitea,PF,2020-03-20 23:10:40,-23.12,-134.97,79.47,82,74,14.92,['light rain'],0.81,0.0
13,Harper,LR,2020-03-20 23:10:40,4.38,-7.72,78.03,89,93,3.15,['overcast clouds'],0.0,0.0
14,Ponta Delgada,PT,2020-03-20 23:10:40,37.73,-25.67,53.6,71,75,4.7,['broken clouds'],0.0,0.0
15,Acarau,BR,2020-03-20 23:10:40,-2.89,-40.12,75.87,88,100,1.36,['overcast clouds'],0.0,0.0
16,Cape Town,ZA,2020-03-20 23:08:51,-33.93,18.42,64.99,88,20,4.7,['few clouds'],0.0,0.0
17,Bestwig,DE,2020-03-20 23:10:41,51.37,8.4,42.01,80,100,4.7,['light snow'],0.0,0.31
18,Pila,PL,2020-03-20 23:10:41,53.15,16.74,37.89,79,100,12.06,['overcast clouds'],0.0,0.0
19,Atar,MR,2020-03-20 23:10:41,20.52,-13.05,65.07,26,0,8.66,['clear sky'],0.0,0.0
20,Port Macquarie,AU,2020-03-20 23:10:41,-31.43,152.92,78.01,78,6,5.82,['clear sky'],0.0,0.0
21,General Pico,AR,2020-03-20 23:10:41,-35.66,-63.76,70.11,39,0,9.82,['clear sky'],0.0,0.0
22,Ushuaia,AR,2020-03-20 23:10:41,-54.8,-68.3,42.8,86,40,23.04,['shower rain'],0.0,0.0
23,Busselton,AU,2020-03-20 23:10:41,-33.65,115.33,66.0,56,11,17.54,['few clouds'],0.0,0.0
24,Nome,US,2020-03-20 23:10:41,64.5,-165.41,32.0,90,90,17.22,['overcast clouds'],0.0,0.0
25,Shebunino,RU,2020-03-20 23:10:42,46.43,141.86,27.45,92,100,23.78,['snow'],0.0,2.0
26,Letterkenny,IE,2020-03-20 23:10:42,54.95,-7.73,34.29,86,17,8.46,['few clouds'],0.0,0.0
27,Punta Arenas,CL,2020-03-20 23:10:19,-53.15,-70.92,46.4,45,75,14.99,['broken clouds'],0.0,0.0
28,Barrow,US,2020-03-20 23:10:42,71.29,-156.79,15.8,78,90,31.09,['snow'],0.0,0.0
29,Sorland,NO,2020-03-20 23:10:42,67.67,12.69,33.03,65,100,8.52,['overcast clouds'],0.0,0.0
30,Port Alfred,ZA,2020-03-20 23:10:42,-33.59,26.89,66.0,84,85,5.01,['overcast clouds'],0.0,0.0
31,Belaya Gora,RU,2020-03-20 23:10:42,68.53,146.42,2.25,83,0,6.55,['clear sky'],0.0,0.0
32,Saint-Philippe,RE,2020-03-20 23:10:43,-21.36,55.77,71.6,64,70,8.05,['broken clouds'],0.0,0.0
33,Jamestown,US,2020-03-20 23:06:34,42.1,-79.24,45.0,86,90,16.11,['overcast clouds'],0.0,0.0
34,Puerto Ayora,EC,2020-03-20 23:10:43,-0.74,-90.35,82.4,74,20,10.29,['few clouds'],0.0,0.0
35,Vaini,TO,2020-03-20 23:10:43,-21.2,-175.2,73.4,100,90,9.17,['light rain'],0.0,0.0
36,Bluff,NZ,2020-03-20 23:10:43,-46.6,168.33,51.01,90,100,7.0,['light rain'],1.06,0.0
37,Cherskiy,RU,2020-03-20 23:10:43,68.75,161.3,-8.01,79,7,13.11,['clear sky'],0.0,0.0
38,Kulhudhuffushi,MV,2020-03-20 23:10:43,6.62,73.07,83.43,70,100,6.78,['overcast clouds'],0.0,0.0
39,Meulaboh,ID,2020-03-20 23:10:43,4.14,96.13,81.45,76,62,5.7,['light rain'],0.25,0.0
40,Hays,US,2020-03-20 23:10:44,30.05,-98.03,55.99,81,90,18.34,['overcast clouds'],0.0,0.0
41,Kargasok,RU,2020-03-20 23:10:44,59.06,80.86,31.77,92,99,13.27,['light snow'],0.0,0.25
42,China,MX,2020-03-20 23:10:44,25.7,-99.23,73.35,72,88,23.89,['overcast clouds'],0.0,0.0
43,Upernavik,GL,2020-03-20 23:08:35,72.79,-56.15,-8.73,91,99,3.13,['overcast clouds'],0.0,0.0
44,Malacacheta,BR,2020-03-20 23:10:44,-17.84,-42.08,72.81,89,100,4.07,['light rain'],0.31,0.0
45,Qaanaaq,GL,2020-03-20 23:10:44,77.48,-69.36,-8.91,49,0,6.53,['clear sky'],0.0,0.0
46,Rio Claro,BR,2020-03-20 23:07:12,-22.41,-47.56,69.93,91,30,3.02,['light rain'],2.88,0.0
47,Monte Alegre,BR,2020-03-20 23:10:46,-2.01,-54.07,73.53,93,100,5.08,['overcast clouds'],0.0,0.0
48,Georgetown,MY,2020-03-20 23:10:01,5.41,100.34,78.8,83,20,2.24,['few clouds'],0.0,0.0
49,Leh,IN,2020-03-20 23:10:46,34.17,77.58,5.49,66,89,4.16,['overcast clouds'],0.0,0.0
50,Marfino,RU,2020-03-20 23:10:46,55.7,37.38,36.0,86,75,6.71,['broken clouds'],0.0,0.0
51,Grand Gaube,MU,2020-03-20 23:10:46,-20.01,57.66,73.0,88,20,3.36,['few clouds'],0.0,0.0
52,Margate,GB,2020-03-20 23:08:22,51.38,1.39,45.0,75,75,14.99,['broken clouds'],0.0,0.0
53,Wanlaweyn,SO,2020-03-20 23:10:46,2.62,44.89,77.85,86,15,4.09,['few clouds'],0.0,0.0
54,Nanortalik,GL,2020-03-20 23:10:47,60.14,-45.24,22.23,90,100,19.71,['light snow'],0.0,0.56
55,Sisimiut,GL,2020-03-20 23:10:47,66.94,-53.67,4.23,97,100,4.05,['light snow'],0.0,0.62
56,Buala,SB,2020-03-20 23:10:47,-8.14,159.59,84.69,73,42,6.53,['light rain'],1.38,0.0
57,Ponazyrevo,RU,2020-03-20 23:10:47,58.36,46.31,24.03,86,99,10.69,['light snow'],0.0,0.19
58,Bredasdorp,ZA,2020-03-20 23:10:47,-34.53,20.04,62.6,82,83,3.36,['broken clouds'],0.0,0.0
59,Razole,IN,2020-03-20 23:10:47,16.48,81.83,73.17,88,35,1.28,['scattered clouds'],0.0,0.0
60,Peleduy,RU,2020-03-20 23:10:47,59.63,112.74,17.19,93,98,7.83,['overcast clouds'],0.0,0.0
61,Byron Bay,AU,2020-03-20 23:10:28,-28.65,153.62,81.0,65,1,5.82,['clear sky'],0.0,0.0
62,Luderitz,NA,2020-03-20 23:10:48,-26.65,15.16,73.4,53,0,19.46,['clear sky'],0.0,0.0
63,Mataura,NZ,2020-03-20 23:10:48,-46.19,168.86,51.01,90,100,7.0,['light rain'],0.69,0.0
64,Asau,RO,2020-03-20 23:10:48,46.43,26.4,46.99,75,27,2.24,['scattered clouds'],0.0,0.0
65,Enid,US,2020-03-20 23:10:10,36.4,-97.88,46.4,45,5,12.75,['clear sky'],0.0,0.0
66,Nicoya,CR,2020-03-20 23:10:48,10.15,-85.45,93.2,32,20,19.46,['few clouds'],0.0,0.0
67,Yellowknife,CA,2020-03-20 23:06:13,62.46,-114.35,24.01,67,75,17.22,['broken clouds'],0.0,0.0
68,Morant Bay,JM,2020-03-20 23:10:48,17.88,-76.41,82.4,69,20,19.46,['few clouds'],0.0,0.0
69,Dafeng,CN,2020-03-20 23:10:49,23.45,108.59,67.95,96,100,4.81,['overcast clouds'],0.0,0.0
70,Elizabeth City,US,2020-03-20 23:10:25,36.29,-76.25,87.8,42,1,11.41,['clear sky'],0.0,0.0
71,Saint George,US,2020-03-20 23:10:49,37.1,-113.58,52.0,50,20,3.36,['few clouds'],0.0,0.0
72,Xai-Xai,MZ,2020-03-20 23:10:49,-25.05,33.64,66.87,83,0,5.46,['clear sky'],0.0,0.0
73,Katsuura,JP,2020-03-20 23:10:49,35.13,140.3,55.99,37,0,1.12,['clear sky'],0.0,0.0
74,Berlevag,NO,2020-03-20 23:10:49,70.86,29.09,24.8,53,40,23.04,['scattered clouds'],0.0,0.0
75,Sitka,US,2020-03-20 23:10:49,57.05,-135.33,42.8,75,90,4.7,['overcast clouds'],0.0,0.0
76,Carnarvon,AU,2020-03-20 23:10:50,-24.87,113.63,75.2,83,100,13.87,['overcast clouds'],0.0,0.0
77,Tautira,PF,2020-03-20 23:10:50,-17.73,-149.15,87.8,70,75,8.05,['broken clouds'],0.0,0.0
