City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2020-03-18 10:47:57,-33.92,25.57,73.4,64,1,25.28
1,Saint-Philippe,RE,2020-03-18 10:47:57,-21.36,55.77,87.8,70,75,11.41
2,Henstedt-Ulzburg,DE,2020-03-18 10:47:57,53.78,10.0,55.99,58,75,13.87
3,San Patricio,MX,2020-03-18 10:47:57,19.22,-104.7,73.67,78,0,3.42
4,Talnakh,RU,2020-03-18 10:47:57,69.49,88.4,15.8,92,75,17.9
5,Rikitea,PF,2020-03-18 10:47:57,-23.12,-134.97,79.61,79,10,10.4
6,Punta Arenas,CL,2020-03-18 10:47:57,-53.15,-70.92,53.6,71,90,26.4
7,Bundaberg,AU,2020-03-18 10:47:57,-24.85,152.35,70.0,88,0,8.05
8,Sept-Iles,CA,2020-03-18 10:47:57,50.2,-66.38,21.0,73,20,10.29
9,Hulan,CN,2020-03-18 10:47:58,45.98,126.6,37.4,86,40,6.71
10,Butaritari,KI,2020-03-18 10:47:58,3.07,172.79,83.21,80,3,14.58
11,Matamoros,MX,2020-03-18 10:47:58,25.53,-103.25,65.57,55,11,1.77
12,Qinhuangdao,CN,2020-03-18 10:47:58,39.93,119.59,54.41,36,32,24.94
13,Bredasdorp,ZA,2020-03-18 10:47:58,-34.53,20.04,75.2,50,82,10.29
14,Mani,CO,2020-03-18 10:47:58,4.82,-72.29,82.85,42,33,3.6
15,Port Alfred,ZA,2020-03-18 10:47:58,-33.59,26.89,70.0,82,3,8.01
16,Thanh Hoa,VN,2020-03-18 10:47:58,19.8,105.77,71.33,92,75,7.83
17,Mayor Pablo Lagerenza,PY,2020-03-18 10:47:58,-19.93,-60.77,83.03,63,97,9.48
18,Saskylakh,RU,2020-03-18 10:47:59,71.92,114.08,-4.27,88,100,18.05
19,Vaini,TO,2020-03-18 10:47:59,-21.2,-175.2,77.0,78,40,5.82
20,Longyearbyen,SJ,2020-03-18 10:47:59,78.22,15.64,-18.4,68,20,8.05
21,Loa Janan,ID,2020-03-18 10:47:59,-0.58,117.09,77.81,87,29,3.53
22,Touros,BR,2020-03-18 10:47:59,-5.2,-35.46,78.8,94,40,4.7
23,Mosquera,CO,2020-03-18 10:47:59,4.71,-74.23,51.8,87,75,5.82
24,New Norfolk,AU,2020-03-18 10:47:59,-42.78,147.06,68.0,49,20,14.99
25,Buin,CL,2020-03-18 10:47:59,-33.73,-70.75,55.4,76,0,1.12
26,Okha,RU,2020-03-18 10:47:42,53.57,142.95,12.11,94,44,3.04
27,Nikolskoye,RU,2020-03-18 10:48:00,59.7,30.79,41.0,86,90,15.66
28,Adrar,MR,2020-03-18 10:48:00,20.5,-10.07,76.37,23,67,12.41
29,Ushuaia,AR,2020-03-18 10:45:05,-54.8,-68.3,48.2,93,75,11.41
30,Mar Del Plata,AR,2020-03-18 10:48:00,-38.0,-57.56,64.0,93,100,3.36
31,Gamba,GA,2020-03-18 10:48:00,-2.65,10.0,84.83,80,100,9.35
32,Upernavik,GL,2020-03-18 10:48:00,72.79,-56.15,-1.21,56,99,6.17
33,Kapaa,US,2020-03-18 10:48:00,22.08,-159.32,75.2,88,90,11.41
34,Mount Gambier,AU,2020-03-18 10:48:00,-37.83,140.77,66.2,68,40,5.82
35,Lavrentiya,RU,2020-03-18 10:48:01,65.58,-171.0,22.01,95,100,7.76
36,Westport,US,2020-03-18 10:48:01,41.14,-73.36,43.0,74,1,4.83
37,Ribeira Grande,PT,2020-03-18 10:48:01,38.52,-28.7,64.4,88,75,14.99
38,Hermanus,ZA,2020-03-18 10:48:01,-34.42,19.23,75.99,81,40,1.01
39,Albany,US,2020-03-18 10:48:01,42.6,-73.97,33.01,68,1,5.82
40,Chokurdakh,RU,2020-03-18 10:48:01,70.63,147.92,-27.85,96,13,8.05
41,Hobart,AU,2020-03-18 10:47:35,-42.88,147.33,68.0,49,20,14.99
42,Hilo,US,2020-03-18 10:48:01,19.73,-155.09,73.99,88,90,4.7
43,Sitka,US,2020-03-18 10:48:01,57.05,-135.33,35.6,80,90,3.36
44,Bambanglipuro,ID,2020-03-18 10:48:02,-7.95,110.28,76.01,91,100,6.87
45,Alenquer,BR,2020-03-18 10:43:02,-1.94,-54.74,78.8,88,20,6.93
46,Machali,CL,2020-03-18 10:48:02,-34.18,-70.67,59.99,20,0,1.12
47,Gravelbourg,CA,2020-03-18 10:48:02,49.88,-106.55,8.15,94,100,7.18
48,Aars,DK,2020-03-18 10:48:02,56.8,9.51,46.99,89,96,5.99
49,Broome,US,2020-03-18 10:48:02,42.25,-75.83,30.2,100,75,1.5
50,Cape Town,ZA,2020-03-18 10:47:16,-33.93,18.42,77.0,60,20,17.22
51,Kouroussa,GN,2020-03-18 10:48:03,10.65,-9.88,99.23,16,14,5.39
52,Oistins,BB,2020-03-18 10:46:59,13.07,-59.53,77.0,73,40,12.75
53,Maceio,BR,2020-03-18 10:45:11,-9.67,-35.74,75.2,94,75,4.7
54,East London,ZA,2020-03-18 10:48:03,-33.02,27.91,71.6,73,0,11.41
55,Dikson,RU,2020-03-18 10:48:03,73.51,80.55,-4.99,99,99,6.44
56,Yellowknife,CA,2020-03-18 10:44:08,62.46,-114.35,-13.0,75,5,3.36
57,Ponta Do Sol,PT,2020-03-18 10:48:03,32.67,-17.1,64.4,52,40,17.22
58,Port Keats,AU,2020-03-18 10:48:03,-14.25,129.55,82.85,72,7,6.04
59,Cidreira,BR,2020-03-18 10:48:03,-30.18,-50.21,74.57,87,89,25.3
60,Barrow,US,2020-03-18 10:48:04,71.29,-156.79,21.2,85,90,10.29
61,Koumac,NC,2020-03-18 10:48:04,-20.57,164.28,70.25,90,4,4.94
62,Tias,ES,2020-03-18 10:48:04,28.96,-13.64,66.2,67,40,14.99
63,Te Anau,NZ,2020-03-18 10:48:04,-45.42,167.72,47.93,78,94,7.36
64,Hofn,IS,2020-03-18 10:48:04,64.25,-15.21,35.51,76,100,34.34
65,Aswan,EG,2020-03-18 10:48:04,24.09,32.91,76.91,14,0,15.05
66,Dunedin,NZ,2020-03-18 10:48:04,-45.87,170.5,55.0,83,95,3.0
67,Smithers,CA,2020-03-18 10:48:04,54.78,-127.17,17.6,92,1,2.24
68,Mataura,NZ,2020-03-18 10:48:05,-46.19,168.86,53.01,87,75,1.01
69,Doha,QA,2020-03-18 10:46:02,25.29,51.53,89.6,54,40,13.87
